<http://www.worldkg.org/resource/621557579>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/Secondary>
<http://www.worldkg.org/resource/275038485>	<Polygon_buildings-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038470>
<http://www.worldkg.org/resource/242517194>	<Line_roads-Adjacent-Line_roads>	<http://www.worldkg.org/resource/400456494>
<http://www.worldkg.org/resource/242517194>	<http://www.worldkg.org/schema/oneway>	oneway-yes
<http://www.worldkg.org/resource/275038489>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/46111605>
<http://www.worldkg.org/resource/2270245977>	<http://www.worldkg.org/schema/artworkType>	artworkType-sculpture
<http://www.worldkg.org/resource/488797727>	<http://www.worldkg.org/schema/hgv>	hgv-destination
<http://www.worldkg.org/resource/46111605>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038485>
<http://www.worldkg.org/resource/275062137>	<RegionId>	13_4
<http://www.worldkg.org/resource/275038485>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/46111605>
<http://www.worldkg.org/resource/400456495>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/440122898>
<http://www.worldkg.org/resource/486583091>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/46111605>
<http://www.worldkg.org/resource/275038431>	<http://www.worldkg.org/schema/nycdoittBin>	nycdoittBin-1063402
<http://www.worldkg.org/resource/693648914>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038429>
<http://www.worldkg.org/resource/798544892>	<http://www.w3.org/2000/01/rdf-schema#label>	Fort Washington Park Greenway
<http://www.worldkg.org/resource/275038497>	<http://www.w3.org/2000/01/rdf-schema#label>	Vivian & Seymour Milstein Family Heart Center
<http://www.worldkg.org/resource/746730288>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/46593266>
<http://www.worldkg.org/resource/798544893>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/Path>
<http://www.worldkg.org/resource/226007052>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/480680383>
<http://www.worldkg.org/resource/275038429>	<Polygon_buildings-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038482>
<http://www.worldkg.org/resource/486583091>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038489>
<http://www.worldkg.org/resource/5671739>	<http://www.worldkg.org/schema/oneway>	oneway-yes
<http://www.worldkg.org/resource/232473896>	<http://www.worldkg.org/schema/bridge>	bridge-yes
<http://www.worldkg.org/resource/8119481>	<http://www.w3.org/2000/01/rdf-schema#label>	Riverside Drive
<http://www.worldkg.org/resource/669610146>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/Secondary>
<http://www.worldkg.org/resource/693648914>	<http://www.worldkg.org/schema/bicycle>	bicycle-designated
<http://www.worldkg.org/resource/275038482>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Polygon>
<http://www.worldkg.org/resource/275038485>	<http://www.worldkg.org/schema/height>	height-35.4
<http://www.worldkg.org/resource/275062137>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/5669886>
<http://www.worldkg.org/resource/278618227>	<http://www.worldkg.org/schema/motorcar>	motorcar-designated
<http://www.worldkg.org/resource/226007052>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275062137>
<http://www.worldkg.org/resource/488797726>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038482>
<http://www.worldkg.org/resource/275038485>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/122738269>
<http://www.worldkg.org/resource/400456494>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/440122898>
<http://www.worldkg.org/resource/275038470>	<Polygon_buildings-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038485>
<http://www.worldkg.org/resource/693648911>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/275038482>
<http://www.worldkg.org/resource/232473896>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/397678729>
