<http://www.worldkg.org/resource/163474780>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.worldkg.org/schema/TourismHotel>
<http://www.worldkg.org/resource/266170835>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/266170765>
<http://www.worldkg.org/resource/397795464>	<Line_roads-Intersect-Line_roads>	<http://www.worldkg.org/resource/226041025>
<http://www.worldkg.org/resource/258646143>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/1426275725>
<http://www.worldkg.org/resource/7613305940>	<http://www.worldkg.org/schema/network>	network-NYC Subway
<http://www.worldkg.org/resource/2611782760>	<Point_pois-Adjacent-Line_railway>	<http://www.worldkg.org/resource/46695596>
<http://www.worldkg.org/resource/3679391773>	<Point_transport-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/266034046>
<http://www.worldkg.org/resource/2178743031>	<Point_pois-Adjacent-Line_railway>	<http://www.worldkg.org/resource/525428785>
<http://www.worldkg.org/resource/266170825>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/167922072>
<http://www.worldkg.org/resource/569345544>	<Line_roads-Adjacent-Line_railway>	<http://www.worldkg.org/resource/803137436>
<http://www.worldkg.org/resource/266149300>	<Point_pois-Intersect-Point_pois>	<http://www.worldkg.org/resource/266149298>
<http://www.worldkg.org/resource/3922485803>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/2676979135>
<http://www.worldkg.org/resource/266170757>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/226041026>
<http://www.worldkg.org/resource/86121621>	<Point_transport-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/3679396691>
<http://www.worldkg.org/resource/5341456858>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Point>
<http://www.worldkg.org/resource/226041025>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/266170825>
<http://www.worldkg.org/resource/569345544>	<Point_pois-Adjacent-Line_roads>	<http://www.worldkg.org/resource/4316345593>
<http://www.worldkg.org/resource/525729008>	<http://www.worldkg.org/schema/wikipedia>	wikipedia-en:42nd Street (Manhattan)
<http://www.worldkg.org/resource/4757137104>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Point>
<http://www.worldkg.org/resource/194926851>	<Line_roads-Adjacent-Line_railway>	<http://www.worldkg.org/resource/719086615>
<http://www.worldkg.org/resource/266170545>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/266170751>
<http://www.worldkg.org/resource/3974095815>	<Point_pois-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/266170751>
<http://www.worldkg.org/resource/6133822485>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.opengis.net/ont/sf#Point>
<http://www.worldkg.org/resource/5671182>	<Line_roads-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/266149338>
<http://www.worldkg.org/resource/266149325>	<Point_pois-Adjacent-Point_pois>	<http://www.worldkg.org/resource/266149334>
<http://www.worldkg.org/resource/813741990>	<Line_railway-Adjacent-Polygon_buildings>	<http://www.worldkg.org/resource/163629929>
